,name,ratings
0,Massachusetts Institute of Technology (MIT),"
1 
"
1,University of Oxford,"
2 
"
2,Stanford University,"
=3 
"
3,University of Cambridge,"
=3 
"
4,Harvard University,"
5 
"
5,California Institute of Technology (Caltech),"
6 
"
6,Imperial College London,"
7 
"
7,ETH Zurich (Swiss Federal Institute of Technology),"
=8 
"
8,UCL (University College London),"
=8 
"
9,University of Chicago,"
10 
"
10,National University of Singapore (NUS),"
11 
"
11,"Nanyang Technological University, Singapore (NTU)","
12 
"
12,University of Pennsylvania,"
13 
"
13,Ecole Polytechnique Fédérale de Lausanne (EPFL),"
=14 
"
14,Yale University,"
=14 
"
15,University of Edinburgh,"
16 
"
16,Tsinghua University,"
17 
"
17,Peking University,"
18 
"
18,Columbia University,"
19 
"
19,Princeton University,"
20 
"
20,Cornell University,"
21 
"
21,University of Hong Kong (UKU),"
22 
"
22,University of Tokyo,"
=23 
"
23,University of Michigan-Ann Arbor,"
=23 
"
24,Johns Hopkins University,"
25 
"
25,University of Toronto,"
26 
"
26,McGill University,"
=27 
"
27,Australian National University,"
=27 
"
28,University of Manchester,"
=27 
"
29,Northwestern University,"
30 
"
30,Fudan University,"
31 
"
31,"University of California, Berkeley (UCB)","
32 
"
32,Kyoto University,"
33 
"
33,Hong Kong University of Science and Technology (HKUST),"
34 
"
34,King's College London,"
35 
"
35,Seoul National University,"
36 
"
36,University of Melbourne,"
37 
"
37,University of Sydney,"
38 
"
38,Chinese University of Hong Kong (CUHK),"
39 
"
39,"University of California, Los Angeles (UCLA)","
40 
"
40,KAIST - Korea Advanced Institute of Science & Technology,"
41 
"
41,New York University (NYU),"
42 
"
42,University of New South Wales (UNSW Sydney),"
43 
"
43,Universite PSL,"
44 
"
44,Zhejiang University,"
45 
"
45,University of British Columbia,"
46 
"
46,University of Queensland,"
47 
"
47,"University of California, San Diego (UCSD)","
48 
"
48,London School of Economics and Political Science (LSE),"
49 
"
49,Shanghai Jiao Tong University,"
=50 
"
50,Technical University of Munich,"
=50 
"
51,Duke University,"
52 
"
52,Carnegie Mellon University,"
=53 
"
53,City University of Hong Kong,"
=53 
"
54,University of Amsterdam,"
55 
"
55,Tokyo Institute of Technology,"
56 
"
56,Delft University of Technology,"
57 
"
57,Monash University,"
58 
"
58,Institut Polytechnique de Paris,"
59 
"
59,Brown University,"
60 
"
60,University of Warwick,"
62 
"
61,University of Bristol,"
62 
"
62,Ruprecht-Karls-Universitat Heidelberg,"
63 
"
63,Ludwig-Maximilians-Universität München,"
64 
"
64,Universiti Malaya (UM),"
65 
"
65,Hong Kong Polytechnic University,"
66 
"
66,University of Texas at Austin,"
67 
"
67,National Taiwan University (NTU),"
68 
"
68,Universidad de Buenos Aires (UBA),"
69 
"
69,KU Leuven,"
=70 
"
70,University of Zurich,"
=70 
"
71,Sorbonne University,"
72 
"
72,University of Glasgow,"
73 
"
73,Korea University,"
74 
"
74,Osaka University,"
=75 
"
75,University of Wisconsin-Madison,"
=75 
"
76,University of Southampton,"
77 
"
77,Lomonosov Moscow State University,"
78 
"
78,University of Copenhagen,"
=79 
"
79,Yonsei University,"
=79 
"
80,Pohang University of Science and Technology (POSTECH),"
81 
"
81,Durham University,"
=82 
"
82,Tohoku University,"
=82 
"
83,University of Illinois at Urbana-Champaign,"
=82 
"
84,University of Auckland,"
=85 
"
85,University of Washington,"
=85 
"
86,Lund University,"
87 
"
87,Georgia Institute of Technology,"
88 
"
88,KTH Royal Institute of Technology,"
89 
"
89,University of Birmingham,"
90 
"
90,University of St Andrews,"
91 
"
91,University of Leeds,"
92 
"
92,University of Western Australia,"
93 
"
93,Rice University,"
94 
"
94,University of Sheffield,"
95 
"
95,University of Pennsylvania,"
96 
"
96,Sungkyunkwan University (SKKU),"
97 
"
97,University of Science and Technology of China,"
98 
"
98,Technical University of Denmark,"
99 
"
99,"University of North Carolina, Chapel Hill","
100 
"
